Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt10530176,2023-11-21,2023-11-21,,"The Call","Kol",https://www.imdb.com/title/tt10530176/,Movie,7.1,112,2020,"Crime, Horror, Mystery, Sci-Fi, Thriller",51277,2020-11-27,"Chung-Hyun Lee"
2,tt11385128,2023-11-21,2023-11-21,,"V","V",https://www.imdb.com/title/tt11385128/,Movie,6.8,140,2020,"Action, Crime, Thriller",9874,2020-09-05,"Mohana Krishna Indraganti"
3,tt10556036,2023-11-24,2023-11-24,,"Jiivi","Jiivi",https://www.imdb.com/title/tt10556036/,Movie,7.7,122,2019,"Drama, Thriller",2057,2019-06-28,"V.J. Gopinath"
4,tt7057496,2023-11-21,2023-11-21,,"Forgotten","Gi-eok-ui bam",https://www.imdb.com/title/tt7057496/,Movie,7.4,108,2017,"Crime, Mystery, Thriller",58591,2018-02-21,"Jang Hang-jun"
5,tt7019942,2023-11-24,2023-11-24,,"Super Deluxe","Super Deluxe",https://www.imdb.com/title/tt7019942/,Movie,8.2,176,2019,"Comedy, Crime, Drama, Thriller",19610,2019-04-05,"Thiagarajan Kumararaja"
6,tt15353762,2023-11-24,2023-11-24,,"Jiivi 2","Jiivi 2",https://www.imdb.com/title/tt15353762/,Movie,6.5,122,2022,"Drama",562,2022-08-19,"V.J. Gopinath"
7,tt8108268,2023-11-21,2023-11-21,,"The Tashkent Files","The Tashkent Files",https://www.imdb.com/title/tt8108268/,Movie,8.1,134,2019,"Drama, Mystery, Thriller",38475,2019-04-12,"Vivek Agnihotri"
8,tt10545484,2023-11-21,2023-11-21,,"Evaru","Evaru",https://www.imdb.com/title/tt10545484/,Movie,8.1,118,2019,"Mystery, Thriller",9565,2019-08-16,"Venkat Ramji"
9,tt10811166,2023-11-21,2023-11-21,,"The Kashmir Files","The Kashmir Files",https://www.imdb.com/title/tt10811166/,Movie,8.5,170,2022,"Drama",578136,2022-03-11,"Vivek Agnihotri"
10,tt24059780,2023-11-25,2023-11-25,,"Virupaksha","Virupaksha",https://www.imdb.com/title/tt24059780/,Movie,7.2,145,2023,"Action, Horror, Mystery, Thriller",7054,2023-04-21,"Karthik Varma Dandu"
11,tt11323316,2023-11-21,2023-11-21,,"Penguin","Penguin",https://www.imdb.com/title/tt11323316/,Movie,4.5,132,2020,"Drama, Mystery, Thriller",2676,2020-06-19,"Eashvar Karthic"
12,tt11953248,2023-11-21,2023-11-21,,"Garuda Gamana Vrishabha Vahana","Garuda Gamana Vrishabha Vahana",https://www.imdb.com/title/tt11953248/,Movie,8.2,151,2021,"Crime, Drama, Thriller",9134,2021-11-19,"Raj B. Shetty"
13,tt9900782,2023-11-21,2023-11-21,,"Kaithi","Kaithi",https://www.imdb.com/title/tt9900782/,Movie,8.4,145,2019,"Action, Crime, Thriller",50382,2019-10-25,"Lokesh Kanagaraj"
14,tt9179430,2023-11-21,2023-11-21,,"Vikram","Vikram",https://www.imdb.com/title/tt9179430/,Movie,8.3,175,2022,"Action, Crime, Thriller",87675,2022-06-03,"Lokesh Kanagaraj"
15,tt15654328,2023-11-21,2023-11-21,,"Leo","Leo",https://www.imdb.com/title/tt15654328/,Movie,7.2,164,2023,"Action, Crime, Drama, Thriller",72729,2023-10-19,"Lokesh Kanagaraj"
16,tt3417422,2023-11-21,2023-11-21,,"Drishyam","Drishyam",https://www.imdb.com/title/tt3417422/,Movie,8.4,160,2013,"Crime, Drama, Mystery, Thriller",47142,2013-12-19,"Jeethu Joseph"
